Источник;Метод;Описание метода;Результат 
;;;применения метода
1;2;3;4
Maes J., Crossman N. D., Burkhard B. Mapping ecosystem services //Routledge handbook of ecosystem services. – Routledge, 2016. – С. 188-204. [42];Территориальное моделирование и картирование экосистемных услуг (ТМКЭУ) ;1)Включает сбор и обработку пространственных данных.;Тематические карты, отражающие пространственную структуру ЭУ.
;;2)Использует модели для анализа и картирования ЭУ.;
;;3)Поддерживает градостроительное и экологическое планирование.;
Чернова Ж. В. Методологические аспекты экспертных интервью: подходы, возможности и ограничения //Мониторинг общественного мнения: экономические и социальные перемены. – 2023. – №. 5 (177). – С. 74–90. [43];Экспертные интервью ;1)Выбор экспертов по опыту и знаниям.;Набор качественных данных и инсайтов, полученных от специалистов в конкретной области. 
;;2)Разработка вопросника с открытыми вопросами.;
;;3)Проведение интервью с фиксацией ответов.;
;;3)Анализ: транскрипция, кодирование, сравнение.;
;;4)Синтез результатов и подготовка отчёта.;
Железницких А. К. Методы социологических исследований: особенности применения (на примере массового/;Анкетный опрос ;1)Сбор данных у респондентов через анкеты.;Алгоритм метода анкетного опроса включает последовательные шаги от планирования и разработки анкеты до сбора, анализа и представления данных. 
анкетного опроса) //Экономика и социум. – 2014. – №. 2–2 (11). – С. 70–76. [44];;2)Разработка целей, задач и структуры анкеты.;
;;3)Определение выборки и способа опроса (онлайн, очно и др.).;
;;4)Сбор, обработка и статистический анализ данных.;
;;5)Подготовка отчета и визуализация результатов.;
Цветков В. Я. Анализ применения космического мониторинга //Перспективы науки и образования. – 2015. – №. 3 (15). – С. 48–55. [40];ГИС и пространственное моделирование ;1)Сбор данных: карты, спутниковые снимки, статистика.;Карты и другие визуальные представления данных, что помогает лучше понять пространственное распределение и взаимосвязи между различными объектами и явлениями.
;;2)Перевод и обработка данных в цифровом формате.;
;;3)Систематизация и создание базы пространственных данных.;
;;4)Анализ и моделирование с помощью специализированного ПО.;
;;5)Выпуск итоговой продукции в цифровом и печатном виде.;
