Отметка времени,1. Ваш возраст,2. Ваш пол,3. Ваш род деятельности,4. Как вы оцениваете доступность водно-зелёных зон для всех категорий населения?,5. Как часто вы посещаете водно-зелёные зоны в вашем районе?,6. Удаленность водно-зелёных зон наиболее частого посещения от места проживания,7. Как далеко от вашего дома находятся ближайшие водно-зелёные зоны?,8. Оценка эстетической привлекательности водно-зелёных зон,9. Восприятие чистоты и ухоженности водно-зелёных зон,10. Удовлетворенность разнообразием растений и животных в водно-зелёных зонах,"11. Доступность и качество объектов благоустройства в водно-зеленых зонах (площадки, спортивные сооружения, дорожки для прогулок и бега)","12. Какие виды активности вы чаще всего проводите в водно-зелёных зонах? (выберите все, что подходит)",13. Оценка возможностей для активного и пассивного отдыха,14. Уровень комфортности и безопасности в водно-зелёных зонах,"15. Частота социальных взаимодействий в водно-зелёных зонах (встречи, мероприятия)","16. Качество социальных взаимодействий в водно-зелёных зонах (встречи, мероприятия)",17. Восприятие безопасности в дневное и ночное время,"18. Влияние посещения водно-зелёных зон на физическое здоровье (снижение стресса, улучшение физической формы)",19. Влияние на психическое здоровье и эмоциональное состояние,20. Общая удовлетворенность качеством жизни благодаря доступности водно-зелёных зон,21. Уровень осведомленности о значимости экосистемных услуг,22. Готовность участвовать в мероприятиях по защите и улучшению водно-зелёных зон,23. Участие в экологических программах и акциях,24. Как вы оцениваете изменения в состоянии водно-зелёных зон за последние 5 лет?,25. Как вы оцениваете изменения в доступности водно-зелёных зон за последние 5 лет?,26. Как вы оцениваете изменения в уровне безопасности в водно-зелёных зонах за последние 5 лет?,28. В каких зонах отдыха поселка Мысхако вы бываете чаще всего? (Выберите все подходящие варианты) ,27. Ваш тип жилья
17.06.2024 7:37:24,от 16 до 35 лет (20),Мужской,Работа ,Доступно,Еженедельно,3,Более 1000 метров,5,5,5,5,Прогулки,5,5,2,5,5,5,5,5,5,5,5,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, ",Частный дом
17.06.2024 7:41:34,от 16 до 35 лет (18),Мужской,Студент,Доступно,Еженедельно,7,500-1000 метров,10,9,10,10,Прогулки,10,10,10,10,9,10,10,10,10,5,5,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный дом
17.06.2024 7:42:14,от 16 до 35 лет (18),Женский,программирование ,Доступно,Еженедельно,1,300-500 метров,10,10,10,10,Прогулки,10,10,10,10,5,10,10,10,10,5,5,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,"Гора Колдун, Дикий пляж Больничный, Плантация виноградников, Пустыри у подножья горы Колдун",Частный дом
17.06.2024 7:47:59,от 16 до 35 лет (20),Мужской,Студент,Доступно,Ежемесячно,3,500-1000 метров,7,6,9,5,Прогулки,7,9,3,7,5,10,7,10,6,10,2,Улучшилось,Улучшилось,Улучшилось,Пляж Мысхако,Частный дом
17.06.2024 7:56:16,от 16 до 35 лет (20),Мужской,,Доступно,Еженедельно,3,500-1000 метров,7,8,8,6,Прогулки,8,10,7,10,1,10,5,10,10,7,5,Улучшилось,Улучшилось,Значительно улучшилось,"Гора Колдун, Пляж Мысхако, Дикий пляж у подножия горы Колдун, Побережье реки Мысхако",Частный дом
17.06.2024 8:02:43,от 36 до 45 лет (44),Мужской,Матрос спасатель ,Нейтрально,Ежемесячно,10,Более 1000 метров,6,5,5,2,Прогулки,4,6,6,6,8,10,10,7,3,1,1,Ухудшилось,Не изменилось,Не изменилось,"Пляж Мысхако, Мемориальный комплекс «Долина смерти»",Многоквартирный жилой дом
17.06.2024 8:05:53,от 16 до 35 лет (25),Женский,,Доступно,Еженедельно,4,500-1000 метров,10,10,10,10,Прогулки,10,9,8,9,9,9,10,9,9,9,8,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако, Побережье реки Мысхако",Частный дом
17.06.2024 8:46:26,от 16 до 35 лет (19),Женский,Студент,Нейтрально,Еженедельно,1,500-1000 метров,8,5,8,8,Наблюдение за природой,7,7,7,7,7,7,7,7,7,7,7,Не изменилось,Не изменилось,Не изменилось,Пляж Мысхако,Частный дом
17.06.2024 8:47:50,от 16 до 35 лет (20),Мужской,студент ,Доступно,Еженедельно,4,300-500 метров,8,8,8,8,Прогулки,8,8,8,8,8,8,8,8,8,8,6,Улучшилось,Улучшилось,Улучшилось,"Пляж Мысхако, Набережная Мысхако, Побережье реки Мысхако",Многоквартирный жилой дом
17.06.2024 8:47:56,от 16 до 35 лет (19),Женский,Студент,Очень доступно,Ежедневно,1,Менее 300 метров,10,10,10,10,Прогулки,10,10,10,10,1,10,10,10,10,10,6,Значительно улучшилось,Значительно улучшилось,Значительно улучшилось,Набережная Мысхако,Частный дом
